,u10,v10,d2m,t2m,cdir,skt,tcrw,T
0,0.46176773,-2.1023803,272.2137,274.89645,0,273.57343,0.000455722,01/01/2019 00:00
1,1.9684187,1.2726923,273.48782,277.80536,2577138.8,279.5738,0,01/01/2019 12:00
2,1.5535513,0.9882312,270.58093,272.93723,0,272.02963,0.000329524,02/01/2019 00:00
3,3.6085923,-3.6675668,272.0058,278.02084,2605448,278.86417,9.12E-05,02/01/2019 12:00
4,2.1024582,-5.819141,269.63892,274.6723,0,272.82184,0,03/01/2019 00:00
5,1.6744969,-6.1963167,265.50916,273.67572,2639041.5,274.24036,0,03/01/2019 12:00
6,1.0571921,-3.9150534,267.0104,270.72668,0,270.28555,0,04/01/2019 00:00
7,0.772746,-4.0282063,265.86243,272.66986,2652504,274.1688,0,04/01/2019 12:00
8,1.6481369,0.74111605,266.0324,269.39728,0,269.35916,0,05/01/2019 00:00
9,2.9390845,1.6279436,270.34396,273.16568,2533731.5,273.73242,0,05/01/2019 12:00
10,2.8453603,-2.3953881,272.3177,275.05762,0,272.78604,2.80E-05,06/01/2019 00:00
11,2.022517,-4.901656,271.44415,275.89615,2615010,274.8144,0,06/01/2019 12:00
12,0.14872198,-3.195075,267.29468,272.1123,0,270.71848,0,07/01/2019 00:00
13,-0.025115743,-0.96862346,265.46384,273.1101,2770899,275.15714,0,07/01/2019 12:00
14,0.03484018,1.5315129,264.10352,267.1682,0,267.42648,0,08/01/2019 00:00
15,0.41662848,2.8079648,268.3382,273.4769,2668105.5,274.6953,0,08/01/2019 12:00
16,1.5332214,1.61085,270.46072,272.17096,0,269.99857,7.01E-05,09/01/2019 00:00
17,0.6693737,0.0962013,274.5146,278.2487,2718810.2,278.38583,0.000455722,09/01/2019 12:00
18,0.14458708,-1.6889734,271.25644,272.9681,0,269.69846,0,10/01/2019 00:00
19,-0.6551698,-3.9683785,270.38583,273.5547,2689117,273.40964,0,10/01/2019 12:00
20,2.1424289,-3.1517835,269.93552,272.78964,0,271.7165,0,11/01/2019 00:00
21,2.3378024,-3.345388,269.05753,274.83286,2764230.8,274.50122,0,11/01/2019 12:00
22,1.3707546,0.98432934,266.56403,269.48434,0,269.42523,0,12/01/2019 00:00
23,3.3269029,0.78459346,269.3512,274.53772,2765866.5,275.3175,0,12/01/2019 12:00
24,1.1838231,1.6195825,270.08972,273.78378,0,272.5018,3.51E-05,13/01/2019 00:00
25,2.5917537,1.3174704,272.3763,279.34534,2770647.5,280.33432,0,13/01/2019 12:00
26,3.267464,2.8902745,272.21127,277.20087,0,275.2721,0.007677048,14/01/2019 00:00
27,3.4256234,-3.0666866,274.993,281.77692,2842741.5,282.49963,6.31E-05,14/01/2019 12:00
28,2.5533338,-4.3279033,270.19516,275.41574,0,272.3428,0,15/01/2019 00:00
29,4.456934,-2.8600762,269.60294,277.4849,2963527,278.4705,0,15/01/2019 12:00
30,4.1259704,1.076115,267.12814,275.0601,0,273.952,0,16/01/2019 00:00
31,2.860177,1.0449005,271.4801,282.85193,2915716,283.3283,0,16/01/2019 12:00
32,2.514569,2.99711,271.91516,276.8526,0,274.89972,0,17/01/2019 00:00
33,2.7783406,3.5985475,275.6212,285.30142,2943899.5,284.92233,0,17/01/2019 12:00
34,0.7965216,2.595037,273.64203,278.75504,0,275.4827,0,18/01/2019 00:00
35,0.88473266,-4.2024875,274.24265,276.46915,2793420.5,276.43594,0.006723553,18/01/2019 12:00
36,0.50156605,-1.372183,271.34216,272.98044,0,269.91113,0.000105172,19/01/2019 00:00
37,-1.6337608,-1.0108002,271.68753,275.05515,2924146,276.12967,4.21E-05,19/01/2019 12:00
38,-0.9003344,-0.80790573,272.55417,273.99988,0,272.8597,0,20/01/2019 00:00
39,1.8410985,-1.1756057,272.04474,274.5865,2920874.8,276.5915,0,20/01/2019 12:00
40,-0.55748296,-0.75346607,271.48404,273.85046,0,272.73444,0,21/01/2019 00:00
41,-1.9938408,-0.77631956,270.65286,274.33517,3015112.8,275.76352,0,21/01/2019 12:00
42,-2.0927336,-1.124882,271.03964,272.8162,0,272.16867,0,22/01/2019 00:00
43,-1.7829615,-2.2931976,271.17267,272.95453,2899108,273.85217,0,22/01/2019 12:00
44,-0.24598785,-1.635277,270.0439,271.0206,0,269.7735,0,23/01/2019 00:00
45,0.20747189,-0.7172349,269.67932,271.83936,3082048,273.38828,0,23/01/2019 12:00
46,0.082736,-2.06522,269.6271,270.8187,0,270.3241,0,24/01/2019 00:00
