u10,v10,dew2m,dw2m,temp2m,tmp2m,crr,max2mt,mx2t,msdrswrf,min2mt,mn2t,skt,sp,tcrw,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
0.36310345,-1.5622547,18.6607,291.8107,21.70266,294.85266,0.00043261,23.79586,296.94586,-3.05E-05,2.26E+01,295.7327,295.77313,99940.26,0.00180617,21.8,22.6,21.6,81,18.4,0,E,99970,0,0
0.22792119,-1.8884358,18.85787,292.00787,21.28015,294.43015,0.000776058,22.8902,296.0402,-3.05E-05,2.19E+01,295.06485,295.64603,99974.88,0.000536848,21.4,21.8,20.8,83,18.4,0,SW,100010,0,0
0.13615614,-2.0217233,19.06103,292.21103,19.88934,293.03934,0.000435237,21.85247,295.00247,-3.05E-05,2.10E+01,294.19974,295.38275,100019.31,0.000390131,22.8,22.9,21.1,74,17.9,1.6,NW,100270,0,0
0.1921739,-2.2782621,19.32345,292.47345,19.90096,293.05096,0.000268337,20.86852,294.01852,-3.05E-05,2.04E+01,293.51318,295.29498,100086.31,0.000268981,19.4,22.7,19.3,89,17.5,3.2,NW,100190,5,22.6
0.16053551,-3.0297637,19.35967,292.50967,19.63027,292.78027,2.91E-11,20.27963,293.42963,3.8398132,2.00E+01,293.10956,295.60782,100156.95,0,19.6,19.7,19.4,90,17.9,0,NW,100280,0.6,5.4
-0.114896595,-3.5000033,19.47918,292.62918,20.7882,293.9382,2.91E-11,20.77017,293.92017,33.391693,2.01E+01,293.27588,297.19205,100242.305,0,19.4,19.7,19.4,90,17.8,0,NW,100300,0,0
-0.5868703,-5.2539153,19.3899,292.5399,21.98535,295.13535,2.91E-11,22.32476,295.47476,146.50218,2.10E+01,294.17926,298.7195,100312.695,0,19.3,19.4,19.2,91,17.8,0,WNW,100380,0,0
-0.29486567,-5.7985706,16.03118,289.18118,22.4591,295.6091,2.91E-11,24.23696,297.38696,253.33755,2.39E+01,297.07565,300.50952,100382.25,0,21.6,21.6,19.3,80,18,0,NW,100420,0,0
0.005493641,-5.568469,13.5988,286.7488,24.34838,297.49838,2.91E-11,24.3576,297.5076,380.62933,2.41E+01,297.2338,302.18378,100412.734,0,22.9,22.9,21.6,73,17.8,1.6,NW,100480,0,0
0.09273893,-5.1212397,13.3662,286.5162,25.1023,298.2523,2.91E-11,24.82928,297.97928,495.91458,2.45E+01,297.6029,302.93958,100445.62,0,23.8,23.8,22.6,60,15.6,3.2,NW,100590,0,0
-0.16488802,-3.2450557,12.24035,285.39035,25.82638,298.97638,2.91E-11,25.319,298.469,527.2901,2.49E+01,298.0875,303.62842,100524.945,0,22.7,23.9,22,62,15.1,6.4,NW,100640,0,0
-0.19652641,-3.1615825,12.1106,285.2606,26.1959,299.3459,2.91E-11,26.0737,299.2237,669.556,2.54E+01,298.57092,303.4181,100502.94,0,24.6,24.6,22.7,54,14.6,4.8,NW,100660,0,0
0.41213602,-3.2697792,12.43405,285.58405,26.49743,299.64743,2.91E-11,26.54708,299.69708,683.3862,2.62E+01,299.34747,304.7795,100471.516,0,25.8,26,24.6,45,12.9,4.8,NW,100650,0,0
0.7412576,-3.5574062,12.53823,285.68823,26.69143,299.84143,2.91E-11,26.95046,300.10046,676.0237,2.66E+01,299.7663,304.17917,100464.49,0,24.8,26.3,24.8,46,12.4,4.8,NW,100640,0,0
0.5233498,-4.0123463,12.24307,285.39307,27.0366,300.1866,2.91E-11,27.00564,300.15564,570.4343,2.70E+01,300.115,303.3099,100440.87,0,26.8,26.8,24.6,44,13.5,4.8,NW,100610,0,0
0.023709714,-4.2644787,12.13693,285.28693,26.95995,300.10995,2.91E-11,26.9459,300.0959,448.37555,2.67E+01,299.82065,301.5865,100396.375,0,25.4,27,25.4,43,11.9,3.2,NW,100600,0,0
