d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
270.99762,272.96497,274.43793,274.78598,276.5309,282.32587,5.96E-08,01.01.2019 01:00:00,,-0.8,87.6,-1.4,1.8,0,-2.15238,-0.18503,1.28793,1.63598,3.3809,9.17587
270.02975,271.67166,274.04367,274.728,276.53152,282.31946,5.96E-08,01.01.2019 02:00:00,,-0.8,87.8,-1.3,1.8,0,-3.12025,-1.47834,0.89367,1.578,3.38152,9.16946
271.6946,273.84427,273.68338,274.66833,276.53333,282.31467,5.96E-08,01.01.2019 03:00:00,,-1.5,89,-1.8,1.6,0,-1.4554,0.69427,0.53338,1.51833,3.38333,9.16467
270.85843,272.216,273.59875,274.60992,276.53516,282.30826,5.96E-08,01.01.2019 04:00:00,,-0.7,87.3,-1,1.6,0,-2.29157,-0.934,0.44875,1.45992,3.38516,9.15826
271.2948,272.49628,273.38293,274.55615,276.53577,282.3023,5.96E-08,01.01.2019 05:00:00,,-0.8,88.4,-0.6,1.6,0,-1.8552,-0.65372,0.23293,1.40615,3.38577,9.1523
271.79083,273.09326,273.40482,274.507,276.53607,282.2964,5.00E-05,01.01.2019 06:00:00,,-0.3,88.4,-0.1,1.5,0,-1.35917,-0.05674,0.25482,1.357,3.38607,9.1464
271.815,273.25806,273.10956,274.46286,276.537,282.2911,5.00E-05,01.01.2019 07:00:00,,-0.2,88.4,-0.1,1.5,0,-1.335,0.10806,-0.04044,1.31286,3.387,9.1411
272.07028,273.78955,272.84537,274.42548,276.53668,282.28516,5.96E-08,01.01.2019 08:00:00,,-0.1,88.6,0.2,1.4,0,-1.07972,0.63955,-0.30463,1.27548,3.38668,9.13516
272.40668,275.043,273.39734,274.39648,276.53546,282.279,5.96E-08,01.01.2019 09:00:00,,0.2,88.7,0.6,1.4,0,-0.74332,1.893,0.24734,1.24648,3.38546,9.129
272.6469,276.59222,274.52197,274.39142,276.53424,282.27258,5.96E-08,01.01.2019 10:00:00,,1.9,86.9,3.6,1.4,0,-0.5031,3.44222,1.37197,1.24142,3.38424,9.12258
272.79575,277.61807,274.88055,274.38638,276.53455,282.2678,5.96E-08,01.01.2019 11:00:00,,3.6,81.5,5.3,1.4,0,-0.35425,4.46807,1.73055,1.23638,3.38455,9.1178
272.63882,278.3569,275.25983,274.39774,276.53363,282.2616,5.96E-08,01.01.2019 12:00:00,,4.9,78.8,5.9,1.5,0,-0.51118,5.2069,2.10983,1.24774,3.38363,9.1116
272.67322,278.5757,276.12146,274.44983,276.53275,282.2559,5.96E-08,01.01.2019 13:00:00,,6.8,73.7,8.9,1.6,0,-0.47678,5.4257,2.97146,1.29983,3.38275,9.1059
