,Unnamed: 0,dateandtime,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,date_full,hour_full
0,0,31.12.2019. 23:50:00,1.8,84.4,0.8,1.4,0.0,31.12.2019  23:50:00,50
1,1,31.12.2019. 23:40:00,1.9,84.6,1.1,1.4,0.0,31.12.2019  23:40:00,40
2,2,31.12.2019. 23:30:00,1.6,86.1,0.8,1.4,0.0,31.12.2019  23:30:00,30
3,3,31.12.2019. 23:20:00,0.5,87.5,-0.8,1.4,0.0,31.12.2019  23:20:00,20
4,4,31.12.2019. 23:10:00,0.5,88.1,-0.6,1.4,0.0,31.12.2019  23:10:00,10
5,5,31.12.2019. 23:00:00,0.0,89.4,-0.9,1.5,0.0,31.12.2019  23:00:00,00
6,6,31.12.2019. 22:50:00,-1.0,89.9,-1.5,1.5,0.0,31.12.2019  22:50:00,50
7,7,31.12.2019. 22:40:00,-1.0,89.2,-1.3,1.4,0.0,31.12.2019  22:40:00,40
8,8,31.12.2019. 22:30:00,-1.0,89.3,-1.3,1.5,0.0,31.12.2019  22:30:00,30
9,9,31.12.2019. 22:20:00,-0.4,89.4,-1.3,1.4,0.0,31.12.2019  22:20:00,20
10,10,31.12.2019. 22:10:00,-0.7,89.8,-1.3,1.4,0.0,31.12.2019  22:10:00,10
11,11,31.12.2019. 22:00:00,-0.6,88.6,-1.3,1.5,0.0,31.12.2019  22:00:00,00
12,12,31.12.2019. 21:50:00,-0.2,88.2,-0.9,1.4,0.0,31.12.2019  21:50:00,50
13,13,31.12.2019. 21:40:00,0.1,87.1,-0.6,1.5,0.0,31.12.2019  21:40:00,40
14,14,31.12.2019. 21:30:00,-0.1,86.3,-0.8,1.5,0.0,31.12.2019  21:30:00,30
15,15,31.12.2019. 21:20:00,0.0,86.3,-0.5,1.4,0.0,31.12.2019  21:20:00,20
16,16,31.12.2019. 21:10:00,-0.1,86.8,-0.5,1.5,0.0,31.12.2019  21:10:00,10
17,17,31.12.2019. 21:00:00,-0.2,87.5,-0.6,1.5,0.0,31.12.2019  21:00:00,00
18,18,31.12.2019. 20:50:00,-0.3,87.5,-0.9,1.5,0.0,31.12.2019  20:50:00,50
19,19,31.12.2019. 20:40:00,-0.3,85.6,-0.9,1.4,0.0,31.12.2019  20:40:00,40
20,20,31.12.2019. 20:30:00,0.3,84.3,-0.3,1.4,0.0,31.12.2019  20:30:00,30
21,21,31.12.2019. 20:20:00,0.8,82.3,0.0,1.4,0.0,31.12.2019  20:20:00,20
22,22,31.12.2019. 20:10:00,0.7,82.4,0.1,1.5,0.0,31.12.2019  20:10:00,10
23,23,31.12.2019. 20:00:00,1.0,81.1,0.6,1.4,0.0,31.12.2019  20:00:00,00
24,24,31.12.2019. 19:50:00,0.9,82.2,0.6,1.5,0.0,31.12.2019  19:50:00,50
25,25,31.12.2019. 19:40:00,0.7,83.0,0.4,1.5,0.0,31.12.2019  19:40:00,40
26,26,31.12.2019. 19:30:00,0.4,85.4,0.0,1.4,0.0,31.12.2019  19:30:00,30
27,27,31.12.2019. 19:20:00,0.3,85.2,0.0,1.5,0.0,31.12.2019  19:20:00,20
28,28,31.12.2019. 19:10:00,0.7,83.4,0.2,1.5,0.0,31.12.2019  19:10:00,10
29,29,31.12.2019. 19:00:00,0.3,85.8,0.0,1.4,0.0,31.12.2019  19:00:00,00
30,30,31.12.2019. 18:50:00,0.2,86.9,-0.1,1.5,0.0,31.12.2019  18:50:00,50
31,31,31.12.2019. 18:40:00,0.7,83.9,0.2,1.5,0.0,31.12.2019  18:40:00,40
32,32,31.12.2019. 18:30:00,0.5,85.4,0.1,1.5,0.0,31.12.2019  18:30:00,30
33,33,31.12.2019. 18:20:00,0.7,84.4,0.1,1.4,0.0,31.12.2019  18:20:00,20
34,34,31.12.2019. 18:10:00,0.6,84.2,-0.1,1.4,0.0,31.12.2019  18:10:00,10
35,35,31.12.2019. 18:00:00,0.5,83.7,-0.1,1.4,0.0,31.12.2019  18:00:00,00
36,36,31.12.2019. 17:50:00,0.5,84.8,-0.1,1.5,0.0,31.12.2019  17:50:00,50
37,37,31.12.2019. 17:40:00,1.2,80.4,0.4,1.4,0.0,31.12.2019  17:40:00,40
38,38,31.12.2019. 17:30:00,1.8,76.8,1.2,1.4,0.0,31.12.2019  17:30:00,30
39,39,31.12.2019. 17:20:00,1.9,76.3,1.2,1.4,0.0,31.12.2019  17:20:00,20
40,40,31.12.2019. 17:10:00,1.9,76.9,0.9,1.5,0.0,31.12.2019  17:10:00,10
41,41,31.12.2019. 17:00:00,1.7,78.1,0.7,1.5,0.0,31.12.2019  17:00:00,00
42,42,31.12.2019. 16:50:00,1.9,77.7,1.0,1.4,0.0,31.12.2019  16:50:00,50
43,43,31.12.2019. 16:40:00,2.2,76.0,1.4,1.4,0.0,31.12.2019  16:40:00,40
44,44,31.12.2019. 16:30:00,3.0,72.4,2.2,1.4,0.0,31.12.2019  16:30:00,30
45,45,31.12.2019. 16:20:00,3.3,70.8,2.8,1.5,0.0,31.12.2019  16:20:00,20
