,date,time,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
23,13.07.17,00:00:00,21.8,22.6,21.6,81,18.4,0.0,E,99970,0.0,0.0
24,13.07.17,01:00:00,21.4,21.8,20.8,83,18.4,0.0,SW,100010,0.0,0.0
25,13.07.17,02:00:00,22.8,22.9,21.1,74,17.9,1.6,NW,100270,0.0,0.0
26,13.07.17,03:00:00,19.4,22.7,19.3,89,17.5,3.2,NW,100190,5.0,22.6
27,13.07.17,04:00:00,19.6,19.7,19.4,90,17.9,0.0,NW,100280,0.6,5.4
28,13.07.17,05:00:00,19.4,19.7,19.4,90,17.8,0.0,NW,100300,0.0,0.0
29,13.07.17,06:00:00,19.3,19.4,19.2,91,17.8,0.0,WNW,100380,0.0,0.0
30,13.07.17,07:00:00,21.6,21.6,19.3,80,18.0,0.0,NW,100420,0.0,0.0
31,13.07.17,08:00:00,22.9,22.9,21.6,73,17.8,1.6,NW,100480,0.0,0.0
32,13.07.17,09:00:00,23.8,23.8,22.6,60,15.6,3.2,NW,100590,0.0,0.0
33,13.07.17,10:00:00,22.7,23.9,22.0,62,15.1,6.4,NW,100640,0.0,0.0
34,13.07.17,11:00:00,24.6,24.6,22.7,54,14.6,4.8,NW,100660,0.0,0.0
35,13.07.17,12:00:00,25.8,26.0,24.6,45,12.9,4.8,NW,100650,0.0,0.0
36,13.07.17,13:00:00,24.8,26.3,24.8,46,12.4,4.8,NW,100640,0.0,0.0
37,13.07.17,14:00:00,26.8,26.8,24.6,44,13.5,4.8,NW,100610,0.0,0.0
38,13.07.17,15:00:00,25.4,27.0,25.4,43,11.9,3.2,NW,100600,0.0,0.0
39,13.07.17,16:00:00,26.9,26.9,25.2,41,12.5,3.2,NW,100600,0.0,0.0
40,13.07.17,17:00:00,26.9,27.3,26.7,36,10.6,3.2,NW,100570,0.0,0.0
41,13.07.17,18:00:00,26.6,26.9,25.6,37,10.7,3.2,NW,100550,0.0,0.0
42,13.07.17,19:00:00,24.6,26.5,24.6,43,11.2,1.6,E,100550,0.0,0.0
43,13.07.17,20:00:00,22.3,24.6,22.3,48,10.7,0.0,E,100610,0.0,0.0
44,13.07.17,21:00:00,18.9,22.3,18.9,57,10.2,0.0,NNW,100650,0.0,0.0
45,13.07.17,22:00:00,17.4,18.9,17.4,66,11.0,0.0,N,100680,0.0,0.0
46,13.07.17,23:00:00,15.1,17.4,15.1,77,11.1,0.0,NNW,100690,0.0,0.0
47,14.07.17,00:00:00,13.9,15.1,13.9,79,10.3,0.0,E,100700,0.0,0.0
48,14.07.17,01:00:00,13.1,14.2,13.0,82,10.1,0.0,NNE,100740,0.0,0.0
49,14.07.17,02:00:00,12.8,13.1,12.4,81,9.6,0.0,---,100710,0.0,0.0
50,14.07.17,03:00:00,11.6,12.8,11.6,84,8.9,0.0,---,100680,0.0,0.0
51,14.07.17,04:00:00,10.4,11.6,10.4,88,8.5,0.0,---,100660,0.0,0.0
52,14.07.17,05:00:00,11.3,11.3,10.1,84,8.7,0.0,N,100660,0.0,0.0
53,14.07.17,06:00:00,12.3,12.7,11.3,79,8.8,0.0,N,100660,0.0,0.0
54,14.07.17,07:00:00,16.3,16.3,12.3,66,10.0,0.0,E,100660,0.0,0.0
55,14.07.17,08:00:00,18.0,18.0,16.2,63,10.8,1.6,E,100620,0.0,0.0
56,14.07.17,09:00:00,19.8,19.8,17.9,58,11.3,4.8,E,100630,0.0,0.0
57,14.07.17,10:00:00,21.6,21.6,19.8,52,11.3,3.2,E,100600,0.0,0.0
58,14.07.17,11:00:00,23.1,23.3,21.6,47,11.2,1.6,E,100570,0.0,0.0
59,14.07.17,12:00:00,24.6,24.8,23.1,40,10.1,1.6,E,100570,0.0,0.0
60,14.07.17,13:00:00,25.7,25.7,24.6,37,9.9,1.6,E,100500,0.0,0.0
61,14.07.17,14:00:00,26.5,26.6,25.2,34,9.4,1.6,NW,100450,0.0,0.0
62,14.07.17,15:00:00,26.3,27.1,26.2,36,10.0,1.6,E,100390,0.0,0.0
63,14.07.17,16:00:00,24.7,26.3,24.7,40,10.2,1.6,E,100350,0.0,0.0
64,14.07.17,17:00:00,24.0,24.7,24.0,43,10.6,1.6,E,100330,0.0,0.0
65,14.07.17,18:00:00,23.6,24.1,23.5,45,10.9,1.6,NW,100320,0.0,0.0
66,14.07.17,19:00:00,23.1,23.7,23.1,44,10.1,1.6,NW,100330,0.0,0.0
67,14.07.17,20:00:00,22.3,23.1,22.3,51,11.7,1.6,NW,100300,0.0,0.0
68,14.07.17,21:00:00,20.3,22.3,20.3,55,10.9,0.0,NW,100360,0.0,0.0
69,14.07.17,22:00:00,20.3,20.3,20.0,56,11.2,0.0,NW,100380,0.0,0.0
70,14.07.17,23:00:00,18.9,20.3,18.9,63,11.7,0.0,NW,100360,0.0,0.0
71,15.07.17,00:00:00,16.3,18.9,16.2,76,12.0,0.0,NW,100390,0.0,0.0
72,15.07.17,01:00:00,16.3,16.6,16.3,74,11.6,0.0,NW,100400,0.0,0.0
73,15.07.17,02:00:00,15.7,16.3,15.6,76,11.4,0.0,NW,100400,0.0,0.0
74,15.07.17,03:00:00,14.3,15.7,14.3,83,11.5,0.0,NW,100410,0.0,0.0
75,15.07.17,04:00:00,13.1,14.3,13.0,87,10.9,0.0,---,100410,0.0,0.0
76,15.07.17,05:00:00,14.1,14.7,13.1,85,11.6,0.0,NW,100400,0.0,0.0
77,15.07.17,06:00:00,14.1,14.1,13.7,87,12.0,0.0,SW,100430,0.0,0.0
78,15.07.17,07:00:00,15.7,15.7,14.1,82,12.6,0.0,W,100470,0.0,0.0
79,15.07.17,08:00:00,18.5,18.5,15.7,67,12.3,0.0,NW,100530,0.0,0.0
80,15.07.17,09:00:00,21.4,21.4,18.5,58,12.8,0.0,NW,100510,0.0,0.0
81,15.07.17,10:00:00,23.4,23.4,21.4,56,14.2,1.6,NW,100530,0.0,0.0
82,15.07.17,11:00:00,24.1,24.1,23.0,51,13.3,1.6,NW,100530,0.0,0.0
83,15.07.17,12:00:00,25.7,25.7,24.1,45,12.8,1.6,NW,100520,0.0,0.0
84,15.07.17,13:00:00,26.6,26.6,25.1,43,13.0,1.6,NW,100480,0.0,0.0
85,15.07.17,14:00:00,24.8,26.6,24.2,42,11.0,3.2,NW,100490,0.0,0.0
86,15.07.17,15:00:00,24.5,26.3,24.3,41,10.4,4.8,NW,100480,0.0,0.0
87,15.07.17,16:00:00,24.5,26.2,24.5,46,12.1,4.8,NW,100520,0.0,0.0
88,15.07.17,17:00:00,23.6,24.6,23.4,44,10.6,4.8,NW,100550,0.0,0.0
89,15.07.17,18:00:00,23.4,23.6,23.3,43,10.1,3.2,NW,100580,0.0,0.0
90,15.07.17,19:00:00,23.2,24.2,23.2,44,10.2,3.2,NW,100590,0.0,0.0
91,15.07.17,20:00:00,21.3,23.2,21.3,49,10.2,1.6,NW,100660,0.0,0.0
92,15.07.17,21:00:00,19.4,21.3,19.4,50,8.7,1.6,NW,100710,0.0,0.0
93,15.07.17,22:00:00,18.2,19.4,18.2,56,9.3,0.0,NW,100780,0.0,0.0
94,15.07.17,23:00:00,17.3,18.2,17.3,60,9.5,1.6,NW,100810,0.0,0.0
95,16.07.17,00:00:00,16.7,17.3,16.7,63,9.6,1.6,NW,100840,0.0,0.0
96,16.07.17,01:00:00,16.2,16.7,16.2,65,9.6,1.6,NW,100850,0.0,0.0
97,16.07.17,02:00:00,15.4,16.2,15.4,68,9.5,3.2,NW,100850,0.0,0.0
98,16.07.17,03:00:00,14.6,15.4,14.6,71,9.4,1.6,NW,100870,0.0,0.0
99,16.07.17,04:00:00,13.8,14.7,13.8,77,9.8,0.0,NW,100890,0.0,0.0
100,16.07.17,05:00:00,12.8,13.7,12.0,82,9.8,0.0,WNW,100910,0.0,0.0
101,16.07.17,06:00:00,13.4,13.4,12.8,79,9.8,1.6,NW,100940,0.0,0.0
102,16.07.17,07:00:00,15.2,15.2,13.4,73,10.4,1.6,NW,100990,0.0,0.0
103,16.07.17,08:00:00,17.2,17.2,15.2,68,11.3,3.2,NW,101010,0.0,0.0
104,16.07.17,09:00:00,19.8,19.9,17.2,60,11.8,1.6,NW,101040,0.0,0.0
105,16.07.17,10:00:00,21.2,21.7,19.9,53,11.3,1.6,E,101050,0.0,0.0
106,16.07.17,11:00:00,23.1,23.1,20.7,48,11.5,1.6,NW,101040,0.0,0.0
107,16.07.17,12:00:00,24.1,24.3,23.1,43,10.7,3.2,NW,101050,0.0,0.0
108,16.07.17,13:00:00,25.2,25.3,23.8,40,10.6,3.2,NW,101010,0.0,0.0
109,16.07.17,14:00:00,24.9,25.4,24.1,40,10.4,3.2,NW,100970,0.0,0.0
110,16.07.17,15:00:00,24.1,25.4,23.9,41,10.0,3.2,NW,100960,0.0,0.0
111,16.07.17,16:00:00,25.2,26.3,24.0,35,8.6,3.2,NW,100920,0.0,0.0
112,16.07.17,17:00:00,23.8,25.8,23.8,40,9.4,3.2,E,100910,0.0,0.0
113,16.07.17,18:00:00,23.0,23.8,22.5,44,10.1,1.6,E,100920,0.0,0.0
114,16.07.17,19:00:00,22.9,24.2,22.9,41,9.0,1.6,NW,100900,0.0,0.0
115,16.07.17,20:00:00,21.8,22.9,21.8,47,10.0,1.6,NW,100940,0.0,0.0
116,16.07.17,21:00:00,18.6,21.8,18.6,56,9.6,0.0,NNW,100970,0.0,0.0
117,16.07.17,22:00:00,17.7,18.6,17.4,59,9.6,0.0,NNW,100990,0.0,0.0
118,16.07.17,23:00:00,16.9,17.7,16.9,61,9.3,0.0,NNW,101000,0.0,0.0
119,17.07.17,00:00:00,16.2,16.8,16.1,63,9.1,0.0,NW,101000,0.0,0.0
120,17.07.17,01:00:00,15.3,16.2,14.8,67,9.2,0.0,NW,101020,0.0,0.0
121,17.07.17,02:00:00,14.8,15.3,14.7,69,9.1,0.0,NW,101030,0.0,0.0
122,17.07.17,03:00:00,14.8,15.0,14.7,68,9.0,0.0,NW,101010,0.0,0.0
123,17.07.17,04:00:00,14.7,14.8,14.4,69,9.0,0.0,NW,101020,0.0,0.0
124,17.07.17,05:00:00,14.2,14.7,14.2,71,9.0,0.0,NW,101050,0.0,0.0
125,17.07.17,06:00:00,14.3,14.3,13.7,72,9.3,0.0,NW,101090,0.0,0.0
126,17.07.17,07:00:00,17.9,17.9,14.3,61,10.3,0.0,NW,101090,0.0,0.0
127,17.07.17,08:00:00,19.5,19.7,17.9,59,11.3,1.6,NW,101140,0.0,0.0
128,17.07.17,09:00:00,21.9,21.9,19.4,54,12.2,1.6,E,101130,0.0,0.0
129,17.07.17,10:00:00,23.8,23.9,21.9,52,13.4,1.6,E,101130,0.0,0.0
130,17.07.17,11:00:00,25.6,25.6,23.9,40,11.0,1.6,ENE,101130,0.0,0.0
131,17.07.17,12:00:00,26.8,26.8,25.3,33,9.2,3.2,E,101090,0.0,0.0
132,17.07.17,13:00:00,27.8,27.8,26.4,31,9.1,3.2,E,101050,0.0,0.0
133,17.07.17,14:00:00,28.1,28.4,27.4,27,7.3,3.2,E,101030,0.0,0.0
134,17.07.17,15:00:00,28.4,28.9,27.7,28,8.1,3.2,ENE,100990,0.0,0.0
135,17.07.17,16:00:00,28.8,28.9,28.3,28,8.5,1.6,E,100930,0.0,0.0
136,17.07.17,17:00:00,28.6,28.8,28.4,26,7.2,1.6,E,100920,0.0,0.0
137,17.07.17,18:00:00,28.3,28.6,28.3,26,6.9,1.6,E,100910,0.0,0.0
138,17.07.17,19:00:00,26.9,28.3,26.9,31,8.4,0.0,E,100920,0.0,0.0
139,17.07.17,20:00:00,24.1,26.9,24.1,40,9.6,0.0,ENE,100950,0.0,0.0
140,17.07.17,21:00:00,19.9,24.1,19.9,55,10.6,0.0,---,100970,0.0,0.0
141,17.07.17,22:00:00,17.0,20.0,17.0,74,12.3,0.0,ENE,100990,0.0,0.0
142,17.07.17,23:00:00,15.7,17.0,15.7,79,12.0,0.0,---,101030,0.0,0.0
143,18.07.17,00:00:00,14.7,15.7,14.7,82,11.7,0.0,---,101040,0.0,0.0
144,18.07.17,01:00:00,13.8,14.7,13.8,84,11.2,0.0,---,101030,0.0,0.0
145,18.07.17,02:00:00,13.1,13.8,13.1,85,10.6,0.0,---,101050,0.0,0.0
146,18.07.17,03:00:00,12.4,13.1,12.4,86,10.1,0.0,---,101020,0.0,0.0
147,18.07.17,04:00:00,12.0,12.4,12.0,86,9.7,0.0,---,101020,0.0,0.0
148,18.07.17,05:00:00,11.7,12.3,11.7,87,9.6,0.0,ENE,101040,0.0,0.0
149,18.07.17,06:00:00,11.9,11.9,11.4,89,10.2,0.0,---,101080,0.0,0.0
150,18.07.17,07:00:00,19.6,19.6,11.9,60,11.6,0.0,ENE,101080,0.0,0.0
151,18.07.17,08:00:00,22.0,22.0,19.6,51,11.4,0.0,E,101100,0.0,0.0
152,18.07.17,09:00:00,25.9,25.9,22.0,44,12.7,0.0,ENE,101100,0.0,0.0
153,18.07.17,10:00:00,28.8,28.8,25.9,32,10.4,1.6,E,101080,0.0,0.0
154,18.07.17,11:00:00,28.8,28.9,27.8,30,9.5,1.6,E,101060,0.0,0.0
155,18.07.17,12:00:00,29.1,29.4,28.6,29,9.2,3.2,E,101050,0.0,0.0
156,18.07.17,13:00:00,29.5,29.6,28.9,27,8.5,3.2,E,101010,0.0,0.0
157,18.07.17,14:00:00,30.3,30.6,29.5,28,9.8,1.6,E,100960,0.0,0.0
158,18.07.17,15:00:00,29.9,30.7,29.8,26,8.4,3.2,E,100950,0.0,0.0
159,18.07.17,16:00:00,30.2,30.9,29.9,24,7.4,3.2,E,100920,0.0,0.0
