,soil-temp,soil1,soil2,soil3,soil4
0,1.8,1.28793,1.63598,3.3809,9.17587
1,1.8,0.89367,1.578,3.38152,9.16946
2,1.6,0.53338,1.51833,3.38333,9.16467
3,1.6,0.44875,1.45992,3.38516,9.15826
4,1.6,0.23293,1.40615,3.38577,9.1523
5,1.5,0.25482,1.357,3.38607,9.1464
6,1.5,-0.04044,1.31286,3.387,9.1411
7,1.4,-0.30463,1.27548,3.38668,9.13516
8,1.4,0.24734,1.24648,3.38546,9.129
9,1.4,1.37197,1.24142,3.38424,9.12258
10,1.4,1.73055,1.23638,3.38455,9.1178
11,1.5,2.10983,1.24774,3.38363,9.1116
12,1.6,2.97146,1.29983,3.38275,9.1059
13,1.8,3.6092,1.40194,3.38275,9.1004
14,1.9,3.85092,1.5099,3.38455,9.0947
15,2.1,2.58526,1.5721,3.38455,9.0885
16,2.1,1.35125,1.58218,3.387,9.0837
17,2.1,0.98748,1.56622,3.38912,9.0773
18,2.1,0.66863,1.54437,3.3903,9.07134
19,1.9,0.18862,1.51623,3.39092,9.06634
20,1.9,0.08328,1.48934,3.39276,9.0604
21,1.8,-0.48594,1.4826,3.39337,9.0542
22,1.8,-0.5055,1.4641,3.3949,9.04894
23,1.7,-0.6471,1.449,3.3946,9.043
24,1.6,-0.654,1.4364,3.3946,9.03683
25,1.6,-0.05024,1.42336,3.3955,9.032
26,1.5,0.61685,1.40783,3.3952,9.02584
27,1.5,0.80218,1.39016,3.3952,9.02105
28,1.4,1.17858,1.36917,3.3955,9.01486
29,1.4,1.15844,1.3452,3.3952,9.0089
30,1.4,1.3121,1.31664,3.39428,9.0039
31,1.4,0.55007,1.291,3.39306,8.99795
32,1.4,0.25997,1.27,3.39306,8.9929
33,1.3,1.69946,1.44018,3.3949,8.98626
34,1.3,2.3838,1.56957,3.3955,8.981
35,1.3,3.6489,1.7452,3.39852,8.9753
36,1.4,4.29064,1.93975,3.40066,8.97003
37,1.5,4.0276,2.11663,3.4052,8.96432
38,1.6,3.73004,2.25067,3.41097,8.9579
39,1.6,3.0463,2.31957,3.41674,8.95333
40,1.7,2.8477,2.34646,3.42343,8.94738
41,1.7,2.70498,2.3452,3.4304,8.94238
42,1.6,2.21,2.3225,3.4365,8.93643
43,1.6,1.87847,2.27337,3.44348,8.9314
44,1.6,1.68624,2.20486,3.44836,8.92544
45,1.5,1.30636,2.1704,3.45504,8.9195
46,1.4,1.24075,2.08596,3.45806,8.91445
47,1.4,1.22924,2.00067,3.46322,8.9085
48,1.4,1.1268,1.91537,3.46627,8.90396
49,1.4,0.47064,1.83007,3.46902,8.89755
50,1.3,0.5282,1.74774,3.4699,8.89297
51,1.2,0.52935,1.66622,3.47082,8.88656
52,1.2,0.5374,1.58553,3.47143,8.88152
53,1.2,0.48446,1.50823,3.47234,8.87536
54,1.1,0.34,1.43218,3.47143,8.87054
