,u10,v10,wind-speed,wind-dir
0,0.36310345,-1.5622547,0.0,E
1,0.22792119,-1.8884358,0.0,SW
2,0.13615614,-2.0217233,1.6,NW
3,0.1921739,-2.2782621,3.2,NW
4,0.16053551,-3.0297637,0.0,NW
5,-0.114896595,-3.5000033,0.0,NW
6,-0.5868703,-5.2539153,0.0,WNW
7,-0.29486567,-5.7985706,0.0,NW
8,0.005493641,-5.568469,1.6,NW
9,0.09273893,-5.1212397,3.2,NW
10,-0.16488802,-3.2450557,6.4,NW
11,-0.19652641,-3.1615825,4.8,NW
12,0.41213602,-3.2697792,4.8,NW
13,0.7412576,-3.5574062,4.8,NW
14,0.5233498,-4.0123463,4.8,NW
15,0.023709714,-4.2644787,3.2,NW
16,-0.32814765,-4.3694935,3.2,NW
17,-0.5933075,-3.9529848,3.2,NW
18,-0.66850007,-2.8624506,3.2,NW
19,-0.83682734,-1.8441291,1.6,E
20,-0.90065193,-1.2982498,0.0,E
21,-1.172797,-1.4315374,0.0,NNW
22,-0.75218433,-1.1497855,0.0,N
23,-0.87010926,-1.7932129,0.0,NNW
24,-0.84997576,-2.0978527,0.0,E
25,-0.85559124,-1.8913733,0.0,NNE
26,-0.43580037,-1.4698468,0.0,---
27,-0.48401126,-1.4544252,0.0,---
28,-0.4588101,-1.5541766,0.0,---
29,-0.77971387,-1.7307918,0.0,N
30,-1.6512079,-1.3347235,0.0,N
31,-1.9102044,-0.68309546,0.0,E
32,-1.6759982,-0.7056161,1.6,E
33,-1.7837877,-0.8474712,4.8,E
34,-1.5679345,-1.3457389,3.2,E
35,-1.4074142,-1.3924936,1.6,E
36,-1.779268,-1.2122066,1.6,E
37,-1.5465684,-1.5030158,1.6,E
38,-1.294009,-2.164068,1.6,NW
39,-0.9736531,-3.1607258,1.6,E
40,-1.1748514,-3.4137151,1.6,E
41,-0.97242045,-3.6432047,1.6,E
42,-0.54619235,-3.3642678,1.6,NW
43,-0.25870752,-2.6908536,1.6,NW
44,0.12903404,-2.1552558,1.6,NW
45,0.4461028,-2.32416,0.0,NW
46,0.5995011,-2.4449632,0.0,NW
47,0.3161252,-1.8798681,0.0,NW
48,0.61881286,-2.0601552,0.0,NW
49,0.695375,-2.0890403,0.0,NW
50,0.46568853,-1.729935,0.0,NW
51,0.73605293,-1.4468367,0.0,NW
52,0.75741917,-1.4697244,0.0,---
53,0.4410352,-1.5709447,0.0,NW
54,-0.119279444,-1.6837924,0.0,SW
55,-0.4746978,-1.4003268,0.0,W
56,-0.17474937,-1.4169725,0.0,NW
57,0.2287429,-1.9880649,0.0,NW
58,0.69811434,-1.3278693,1.6,NW
59,0.90807825,-1.465563,1.6,NW
60,2.0624003,-3.975628,1.6,NW
61,1.4225104,-4.758218,1.6,NW
62,0.88753384,-4.3661885,3.2,NW
