,cdir,Global radiation.mean
1,719312.2,67.0375
3,737402.6,27.16388889
5,764420.9,71.8875
7,763598.6,26.64027778
9,720565.2,21.79583333
11,772056.5,29.01388889
13,802716.4,77.70694444
15,767357.7,28.81527778
17,790107.9,75.02222222
19,797626.0,17.81267606
21,812427.25,51.51666667
23,815677.25,26.34166667
25,834120.2,78.34166667
27,841990.75,53.4625
29,869596.4,80.59027778
31,870105.4,79.9125
33,871710.8,45.72777778
35,838231.6,15.44027778
37,878328.4,34.10972222
39,890780.25,43.63333333
41,889135.6,31.29444444
43,875822.25,35.1056338
45,934910.06,42.96805556
47,908361.6,34.84166667
49,954723.44,29.45555556
51,1008877.44,68.85972222
53,1014437.75,62.29444444
55,965961.5,22.16944444
57,990473.7,27.40694444
59,1052772.2,54.75138889
61,1032175.75,23.55277778
63,1037892.7,61.40277778
65,1045763.25,62.10833333
67,1076775.5,32.32957746
69,1103950.4,58.20555556
71,1056648.9,18.04027778
73,1175372.5,119.7902778
75,1219110.9,117.6569444
77,1174667.8,58.76805556
79,1209204.1,104.3236111
81,1197300.4,56.49583333
83,1197496.2,24.99444444
85,1285246.9,70.38888889
87,1281801.0,76.95555556
89,1276671.5,90.2375
91,1289280.0,66.27777778
93,1339440.0,134.7833333
95,1372958.2,139.7472222
97,1397392.1,138.9805556
99,1419789.9,143.6069444
101,1390578.9,109.1208333
103,1386428.2,136.6166667
105,1336777.2,40.33055556
107,1526257.5,153.8736111
109,1498691.1,144.1
111,1506953.1,117.0319444
113,1490468.1,95.48611111
115,1524064.8,151.5647887
117,1584405.5,163.7472222
119,1551866.1,103.9597222
121,1521128.0,102.7875
123,1583465.8,119.3930556
125,1660604.9,143.0333333
127,1629279.4,136.0541667
129,1655044.5,170.9486111
131,1663776.5,129.9555556
133,1629475.1,45.75972222
135,1698626.2,144.1319444
137,1694514.8,78.02083333
139,1745105.5,22.90985915
141,1804623.9,142.9930556
143,1818837.9,153.0111111
145,1822949.4,95.03611111
147,1848675.5,114.0861111
149,1792485.2,86.38194444
151,1868371.4,193.1291667
153,1776979.1,59.06111111
155,1855175.5,40.44444444
157,1886775.0,108.5652778
159,1956122.0,195.6125
161,1963640.0,196.7569444
163,1946724.2,198.0652778
165,1994848.1,203.8541667
167,1949465.2,166.5180556
169,2037059.2,127.8541667
171,2020456.8,131.4097222
173,2101120.0,214.2347222
175,2097361.0,213.1513889
177,2094071.8,213.7472222
179,2127433.5,273.5833333
181,2101746.5,270.4208333
183,2134051.0,257.5583333
185,2095677.1,186.8916667
187,2112632.0,183.3194444
189,2048336.5,43.18472222
191,2141216.5,295.7847222
193,2131427.5,200.2138889
195,2109343.0,141.4652778
197,2118192.5,171.0694444
199,2142587.0,97.61666667
201,2056442.0,103.5333333
203,2027622.5,33.68333333
205,2091135.0,64.25416667
207,2144584.0,87.69722222
209,2298784.0,248.9875
211,2354269.2,311.4549296
213,2343618.5,302.9125
215,2287663.5,227.3736111
217,2312214.8,280.5888889
219,2389784.5,318.5972222
221,2416019.8,321.3194444
223,2371498.5,301.6069444
225,2223250.2,189.3222222
227,2251560.8,229.0041667
229,2313820.2,307.2277778
231,2314329.2,245.6013889
233,2296473.8,85.19861111
235,2337197.0,225.4930556
237,2247606.0,65.05833333
239,2159737.8,138.8013889
241,2359829.5,245.8875
243,2377528.5,339.4097222
245,2373652.0,214.6347222
247,2289543.0,155.0194444
249,2160991.0,127.0138889
251,2202223.0,85.55972222
253,2454041.0,210.2888889
255,2429803.0,324.4263889
257,2255319.8,45.98611111
259,2386652.0,350.6875
261,2395149.0,302.2873239
263,2331519.0,204.0055556
265,2169057.2,71.53055556
267,2196428.0,140.4333333
269,2225678.0,162.0402778
271,2336061.5,114.5208333
273,2367073.5,252.3694444
275,2402393.0,293.5402778
277,2370480.2,143.1125
279,2383049.5,311.8208333
281,2376628.0,173.7083333
283,2353368.8,251.1555556
285,2324001.0,248.1732394
287,2386769.5,319.0319444
289,2444056.0,255.5513889
291,2423772.8,298.7805556
293,2343227.0,142.3513889
295,2391076.8,241.0166667
297,2303835.2,139.9402778
299,2319145.5,116.2944444
301,2293223.8,198.4513889
303,2378507.5,298.5472222
305,2340094.5,218.7777778
307,2398947.5,333.3388889
309,2344480.0,240.3464789
311,2385203.2,79.57638889
313,2453884.5,372.1041667
315,2472327.5,379.7361111
317,2432583.0,366.3847222
319,2442529.0,306.45
321,2460463.0,376.9069444
323,2446014.0,368.6541667
325,2467432.8,371.1791667
327,2447541.0,368.8430556
329,2547195.5,384.2638889
331,2477692.0,354.525
333,2398908.0,296.6125
335,2217925.0,198.3041667
337,2377137.0,333.3736111
339,2408658.2,390.0291667
341,2430312.0,331.4180556
343,2404233.5,239.3847222
345,2393465.5,260.0263889
347,2250347.0,154.6222222
349,2258452.5,205.8694444
351,2356501.2,323.4944444
353,2461872.5,371.4305556
355,2473228.0,369.9680556
357,2566069.0,412.1394366
359,2508038.5,378.6069444
361,2535487.5,393.725
363,2515752.5,385.4263889
365,2494255.2,386.7777778
367,2451104.5,384.9527778
369,2411712.5,255.9902778
371,2488068.5,382.3277778
373,2458035.0,380.8708333
375,2421736.5,200.15
377,2390254.5,356.5125
379,2411712.5,167.1458333
381,2501460.0,322.3887324
383,2506785.5,392.95
385,2443782.0,257.4708333
387,2416372.0,184.3777778
389,2397459.5,241.2569444
391,2440571.0,194.5944444
393,2522918.0,382.95
395,2474128.5,320.0305556
397,2406113.0,207.3611111
399,2443233.8,267.1416667
401,2457134.5,268.8191176
403,2442685.5,346.8402778
405,2411673.5,357.3222222
407,2367034.5,327.1013889
409,2402001.5,357.8055556
411,2442959.5,359.9277778
413,2367700.0,157.5319444
415,2398242.5,321.5861111
417,2343462.0,109.9194444
419,2339781.2,229.7013889
421,2288015.8,296.6041667
423,2295416.5,320.8305556
425,2325841.5,312.3958333
427,2304226.8,189.4625
429,2330892.5,271.5722222
431,2365076.5,321.3930556
433,2396519.5,345.1361111
435,2316091.2,343.925
437,2346947.0,330.8361111
439,2276464.5,289.5805556
441,2264639.2,328.9902778
443,2332654.8,335.7527778
445,2268398.2,321.8986111
447,2290756.8,327.7208333
449,2207470.0,177.8486111
451,2171367.5,120.2958333
453,2319654.5,315.8319444
455,2216593.5,165.0125
457,2298431.5,291.1375
459,2283630.2,325.3208333
461,2232530.5,318.8194444
463,2236133.0,318.2902778
465,2171602.5,306.1458333
467,2118623.0,292.5694444
469,2115177.2,248.7027778
471,2070734.2,254.2055556
473,2091604.8,264.2708333
475,2070538.5,274.9736111
477,2100141.0,288.5166667
