longitude,latitude,time,u10,v10,d2m,t2m,cdir,tcrw,T
17.56999969,45.34999847,01/01/2019 01:00,0.13022685,-1.3777854,271.44223,273.48145,0,1.49E-08,01/01/2019 01:00
17.56999969,45.34999847,01/01/2019 13:00,2.086492,0.51197267,272.4979,278.09415,719312.2,1.49E-08,01/01/2019 13:00
17.56999969,45.34999847,02/01/2019 01:00,1.3861165,0.30613005,270.40582,271.87378,0,1.49E-08,02/01/2019 01:00
17.56999969,45.34999847,02/01/2019 13:00,2.258437,-3.448604,272.25986,278.36,737402.6,1.49E-08,02/01/2019 13:00
17.56999969,45.34999847,03/01/2019 01:00,1.266238,-5.329115,267.66055,273.67114,0,1.49E-08,03/01/2019 01:00
17.56999969,45.34999847,03/01/2019 13:00,0.38887882,-6.2029757,264.74628,273.77142,764420.9,1.49E-08,03/01/2019 13:00
17.56999969,45.34999847,04/01/2019 01:00,0.57971865,-3.8410552,266.70132,270.54163,0,1.49E-08,04/01/2019 01:00
17.56999969,45.34999847,04/01/2019 13:00,0.023994803,-4.2973123,265.81717,272.1674,763598.6,1.49E-08,04/01/2019 13:00
17.56999969,45.34999847,05/01/2019 01:00,2.0413542,-0.03527665,267.73465,270.02145,0,1.49E-08,05/01/2019 01:00
17.56999969,45.34999847,05/01/2019 13:00,2.4001496,0.94492674,271.17728,272.8652,720565.2,1.49E-08,05/01/2019 13:00
17.56999969,45.34999847,06/01/2019 01:00,1.8870447,-1.3903617,272.05228,273.41196,0,1.49E-08,06/01/2019 01:00
17.56999969,45.34999847,06/01/2019 13:00,0.93872416,-4.644637,270.7657,275.9349,772056.5,1.49E-08,06/01/2019 13:00
17.56999969,45.34999847,07/01/2019 01:00,-0.27895546,-3.068914,267.65344,271.9197,0,1.49E-08,07/01/2019 01:00
17.56999969,45.34999847,07/01/2019 13:00,-0.17650235,-0.6128569,266.40695,272.57037,802716.4,1.49E-08,07/01/2019 13:00
17.56999969,45.34999847,08/01/2019 01:00,0.8780501,0.3632778,266.0075,269.03848,0,1.49E-08,08/01/2019 01:00
17.56999969,45.34999847,08/01/2019 13:00,0.81947553,1.0266721,270.5312,273.8506,767357.7,0.000438169,08/01/2019 13:00
17.56999969,45.34999847,09/01/2019 01:00,2.1016083,0.71282196,270.27997,270.5954,0,1.49E-08,09/01/2019 01:00
17.56999969,45.34999847,09/01/2019 13:00,0.012027979,-0.82887155,274.1885,278.62582,790107.9,0.000241756,09/01/2019 13:00
17.56999969,45.34999847,10/01/2019 01:00,0.7029562,-1.723076,270.06476,270.84128,0,1.49E-08,10/01/2019 01:00
17.56999969,45.34999847,10/01/2019 13:00,-0.6432096,-3.897833,270.9504,273.88742,797626,1.49E-08,10/01/2019 13:00
17.56999969,45.34999847,11/01/2019 01:00,1.3844368,-3.0537484,269.99066,273.0948,0,1.49E-08,11/01/2019 01:00
17.56999969,45.34999847,11/01/2019 13:00,1.0562932,-3.7286093,267.87524,275.03473,812427.25,1.49E-08,11/01/2019 13:00
17.56999969,45.34999847,12/01/2019 01:00,1.2420944,0.90386915,267.3002,269.7248,0,1.49E-08,12/01/2019 01:00
17.56999969,45.34999847,12/01/2019 13:00,2.0180502,0.48682034,268.80658,275.53436,815677.25,1.49E-08,12/01/2019 13:00
17.56999969,45.34999847,13/01/2019 01:00,0.055696487,1.6704624,269.4953,271.98193,0,1.49E-08,13/01/2019 01:00
17.56999969,45.34999847,13/01/2019 13:00,2.2132988,1.1185892,271.29657,280.53433,834120.2,1.49E-08,13/01/2019 13:00
17.56999969,45.34999847,14/01/2019 01:00,3.9277077,1.3131504,272.44107,277.97455,0,0.008385301,14/01/2019 01:00
17.56999969,45.34999847,14/01/2019 13:00,0.27026004,-3.4069915,274.28036,281.45566,841990.75,0.000143543,14/01/2019 13:00
17.56999969,45.34999847,15/01/2019 01:00,1.395564,-2.6082182,270.43933,273.76358,0,1.49E-08,15/01/2019 01:00
17.56999969,45.34999847,15/01/2019 13:00,3.0161276,-1.0683742,268.75635,278.27902,869596.4,1.49E-08,15/01/2019 13:00
17.56999969,45.34999847,16/01/2019 01:00,3.378912,0.37733352,267.1703,274.61423,0,1.49E-08,16/01/2019 01:00
17.56999969,45.34999847,16/01/2019 13:00,2.8538404,1.4875526,271.35645,283.78952,870105.4,1.49E-08,16/01/2019 13:00
17.56999969,45.34999847,17/01/2019 01:00,2.9877849,2.6811814,272.8801,277.31058,0,1.49E-08,17/01/2019 01:00
17.56999969,45.34999847,17/01/2019 13:00,3.7681499,3.598504,274.27225,285.5428,871710.8,1.49E-08,17/01/2019 13:00
17.56999969,45.34999847,18/01/2019 01:00,0.28264678,2.4407542,273.42822,278.18658,0,1.49E-08,18/01/2019 01:00
17.56999969,45.34999847,18/01/2019 13:00,0.5345805,-2.708273,274.10934,275.61533,838231.6,0.002387181,18/01/2019 13:00
17.56999969,45.34999847,19/01/2019 01:00,-0.6039499,-1.4556469,272.335,273.00113,0,7.56E-05,19/01/2019 01:00
17.56999969,45.34999847,19/01/2019 13:00,-2.3613977,-0.9520443,271.15698,274.7991,878328.4,1.49E-08,19/01/2019 13:00
17.56999969,45.34999847,20/01/2019 01:00,0.011398196,-0.98163533,272.84152,273.5509,0,1.49E-08,20/01/2019 01:00
17.56999969,45.34999847,20/01/2019 13:00,0.9105916,-0.7556337,272.03555,274.8426,890780.25,1.49E-08,20/01/2019 13:00
17.56999969,45.34999847,21/01/2019 01:00,-0.8069664,-0.89693093,272.2949,273.46393,0,1.49E-08,21/01/2019 01:00
17.56999969,45.34999847,21/01/2019 13:00,-2.5085688,-0.96924406,270.87177,274.31458,889135.6,1.49E-08,21/01/2019 13:00
17.56999969,45.34999847,22/01/2019 01:00,-2.3576183,-1.0345293,271.91272,272.4592,0,1.49E-08,22/01/2019 01:00
17.56999969,45.34999847,22/01/2019 13:00,-2.1445246,-1.8702915,271.2382,272.50513,875822.25,1.49E-08,22/01/2019 13:00
17.56999969,45.34999847,23/01/2019 01:00,-0.3352207,-1.2335291,270.32056,270.4347,0,1.49E-08,23/01/2019 01:00
17.56999969,45.34999847,23/01/2019 13:00,-1.0668782,-0.48654008,270.19165,271.9185,934910.06,1.49E-08,23/01/2019 13:00
17.56999969,45.34999847,24/01/2019 01:00,-0.08118749,-1.1935812,270.5459,271.06,0,1.49E-08,24/01/2019 01:00
17.56999969,45.34999847,24/01/2019 13:00,1.7818623,-2.1386452,271.7031,273.13284,908361.6,1.49E-08,24/01/2019 13:00
17.56999969,45.34999847,25/01/2019 01:00,0.91101146,-2.0822372,268.57465,270.19604,0,1.49E-08,25/01/2019 01:00
17.56999969,45.34999847,25/01/2019 13:00,-0.49897754,-4.1682215,267.4215,271.54514,954723.44,1.49E-08,25/01/2019 13:00
17.56999969,45.34999847,26/01/2019 01:00,1.0886247,-2.615431,266.7815,269.8293,0,1.49E-08,26/01/2019 01:00
17.56999969,45.34999847,26/01/2019 13:00,1.2118623,1.0255623,267.99197,273.17996,1008877.44,1.49E-08,26/01/2019 13:00
17.56999969,45.34999847,27/01/2019 01:00,-0.33836985,0.28449154,267.32455,270.3205,0,1.49E-08,27/01/2019 01:00
17.56999969,45.34999847,27/01/2019 13:00,-0.46853554,0.83691955,270.8012,275.95364,1014437.75,1.49E-08,27/01/2019 13:00
17.56999969,45.34999847,28/01/2019 01:00,-1.930381,1.7797642,268.79947,270.93915,0,1.49E-08,28/01/2019 01:00
17.56999969,45.34999847,28/01/2019 13:00,0.53626007,-2.1177466,274.91684,276.43576,965961.5,0.005318254,28/01/2019 13:00
17.56999969,45.34999847,29/01/2019 01:00,0.83417165,-0.4005412,273.73477,274.30127,0,0.000143543,29/01/2019 01:00
