,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean,u10,v10,d2m,t2m,cdir,tcrw
0,01/01/2019 01:00,0.419444444,0,128.9972222,67.41527778,-0.915277778,103.4833333,88.77222222,0.13022685,-1.3777854,271.44223,273.48145,0,1.49E-08
1,01/01/2019 13:00,0.505555556,0,105.5666667,67.0375,0.280555556,100.9263889,84.50277778,2.086492,0.51197267,272.4979,278.09415,719312.2,1.49E-08
2,02/01/2019 01:00,0.688888889,0.002777778,71.94861111,38.34583333,-1.278873239,98.30694444,90.61944444,1.3861165,0.30613005,270.40582,271.87378,0,1.49E-08
3,02/01/2019 13:00,2.477777778,0,56.40555556,27.16388889,1.916666667,95.67638889,79.80833333,2.258437,-3.448604,272.25986,278.36,737402.6,1.49E-08
4,03/01/2019 01:00,5.147222222,0,84.46388889,66.25833333,-0.8375,92.98472222,66.22222222,1.266238,-5.329115,267.66055,273.67114,0,1.49E-08
5,03/01/2019 13:00,3.266666667,0,89.04722222,71.8875,-0.806944444,90.27361111,69.51111111,0.38887882,-6.2029757,264.74628,273.77142,764420.9,1.49E-08
6,04/01/2019 01:00,2.241666667,0,69.68611111,39.55555556,-2.643055556,87.64305556,79.03055556,0.57971865,-3.8410552,266.70132,270.54163,0,1.49E-08
7,04/01/2019 13:00,0.763888889,0,32.51111111,26.64027778,-4.238888889,84.93333333,79.34366197,0.023994803,-4.2973123,265.81717,272.1674,763598.6,1.49E-08
8,05/01/2019 01:00,0.283333333,0,15.8875,41.50694444,-4.0625,81.52638889,91.13333333,2.0413542,-0.03527665,267.73465,270.02145,0,1.49E-08
9,05/01/2019 13:00,0.825,0.040277778,31.575,21.79583333,0.618055556,79.59861111,93.25,2.4001496,0.94492674,271.17728,272.8652,720565.2,1.49E-08
10,06/01/2019 01:00,1.566666667,0.038888889,70.22222222,46.98611111,2.425,76.44444444,80.99166667,1.8870447,-1.3903617,272.05228,273.41196,0,1.49E-08
11,06/01/2019 13:00,3.794444444,0,108.2722222,29.01388889,1.679166667,73.42916667,67.02777778,0.93872416,-4.644637,270.7657,275.9349,772056.5,1.49E-08
12,07/01/2019 01:00,1.311111111,0,211.7736111,86.49444444,-1.108333333,70.12638889,78.175,-0.27895546,-3.068914,267.65344,271.9197,0,1.49E-08
13,07/01/2019 13:00,0.369444444,0,91.76901408,77.70694444,-2.129166667,66.63194444,76.4375,-0.17650235,-0.6128569,266.40695,272.57037,802716.4,1.49E-08
14,08/01/2019 01:00,0.083333333,0,5.9,51.22638889,-3.293055556,63.19166667,89.82916667,0.8780501,0.3632778,266.0075,269.03848,0,1.49E-08
15,08/01/2019 13:00,0.430555556,0.033333333,252.5805556,28.81527778,0.304166667,59.63333333,90.23888889,0.81947553,1.0266721,270.5312,273.8506,767357.7,0.000438169
16,09/01/2019 01:00,0.227777778,0.004166667,118.5333333,73.6625,-0.726388889,56.06111111,97.76111111,2.1016083,0.71282196,270.27997,270.5954,0,1.49E-08
17,09/01/2019 13:00,0.683333333,0.016666667,102.8152778,75.02222222,2.506944444,52.77777778,90.48194444,0.012027979,-0.82887155,274.1885,278.62582,790107.9,0.000241756
18,10/01/2019 01:00,0.627777778,0.001408451,85.0625,15.53333333,0.458333333,49.61805556,90.25138889,0.7029562,-1.723076,270.06476,270.84128,0,1.49E-08
19,10/01/2019 13:00,2.030555556,0,168.7638889,17.81267606,0.941666667,46.45416667,84.25833333,-0.6432096,-3.897833,270.9504,273.88742,797626,1.49E-08
20,11/01/2019 01:00,1.991666667,0,55.48888889,53.78055556,0.25,43.57083333,79.57638889,1.3844368,-3.0537484,269.99066,273.0948,0,1.49E-08
21,11/01/2019 13:00,1.044444444,0,256.4111111,51.51666667,-2.3625,41.07777778,80.04861111,1.0562932,-3.7286093,267.87524,275.03473,812427.25,1.49E-08
22,12/01/2019 01:00,0.186111111,0,154.1527778,29.67083333,-4.540277778,38.79861111,89.72222222,1.2420944,0.90386915,267.3002,269.7248,0,1.49E-08
23,12/01/2019 13:00,0.269444444,0,37.3375,26.34166667,-0.209722222,36.78611111,83.42222222,2.0180502,0.48682034,268.80658,275.53436,815677.25,1.49E-08
24,13/01/2019 01:00,0.302777778,0,59.87083333,51.88611111,-1.284722222,35.00277778,92.00277778,0.055696487,1.6704624,269.4953,271.98193,0,1.49E-08
25,13/01/2019 13:00,0.980555556,0,80.5875,78.34166667,3.206944444,33.54583333,74.72638889,2.2132988,1.1185892,271.29657,280.53433,834120.2,1.49E-08
26,14/01/2019 01:00,2.327777778,0.002777778,64.72222222,73.06527778,6.943661972,32.25972222,72.04166667,3.9277077,1.3131504,272.44107,277.97455,0,0.008385301
27,14/01/2019 13:00,1.711111111,0.001388889,183.8027778,53.4625,4.755555556,31.25277778,67.68055556,0.27026004,-3.4069915,274.28036,281.45566,841990.75,0.000143543
28,15/01/2019 01:00,1.427777778,0,43.05416667,76.07361111,-4.93E-17,30.59722222,67.14305556,1.395564,-2.6082182,270.43933,273.76358,0,1.49E-08
29,15/01/2019 13:00,2.008333333,0,62.5375,80.59027778,3.281944444,30,58.47222222,3.0161276,-1.0683742,268.75635,278.27902,869596.4,1.49E-08
30,16/01/2019 01:00,0.891666667,0,59.16111111,72.53472222,4.533333333,29.09027778,61.32638889,3.378912,0.37733352,267.1703,274.61423,0,1.49E-08
31,16/01/2019 13:00,2.169444444,0,96.71527778,79.9125,8.495833333,29,57.825,2.8538404,1.4875526,271.35645,283.78952,870105.4,1.49E-08
32,17/01/2019 01:00,1.727777778,0,103.9291667,75.76944444,7.213888889,28.475,68.09577465,2.9877849,2.6811814,272.8801,277.31058,0,1.49E-08
33,17/01/2019 13:00,2.430555556,0,108.5819444,45.72777778,8.291666667,28,62.15833333,3.7681499,3.598504,274.27225,285.5428,871710.8,1.49E-08
34,18/01/2019 01:00,0.694444444,0.05,90.21527778,7.009722222,1.15,28,91.74444444,0.28264678,2.4407542,273.42822,278.18658,0,1.49E-08
35,18/01/2019 13:00,0.85,0.002777778,69.85,15.44027778,1.626388889,27.99722222,86.77361111,0.5345805,-2.708273,274.10934,275.61533,838231.6,0.002387181
36,19/01/2019 01:00,0.327777778,0,85.12777778,38.61805556,0.209722222,27.06388889,89.25277778,-0.6039499,-1.4556469,272.335,273.00113,0,7.56E-05
37,19/01/2019 13:00,0.441666667,0,249.5166667,34.10972222,0.879166667,26.79305556,86.72777778,-2.3613977,-0.9520443,271.15698,274.7991,878328.4,1.49E-08
38,20/01/2019 01:00,0.25,0.015277778,264.0056338,43.65833333,-0.272222222,26,96.07916667,0.011398196,-0.98163533,272.84152,273.5509,0,1.49E-08
39,20/01/2019 13:00,0.463888889,0.002777778,95.54027778,43.63333333,1.281944444,25.40555556,87.42222222,0.9105916,-0.7556337,272.03555,274.8426,890780.25,1.49E-08
40,21/01/2019 01:00,0.655555556,0,220.3013889,29.75694444,0.261111111,25,88.7875,-0.8069664,-0.89693093,272.2949,273.46393,0,1.49E-08
41,21/01/2019 13:00,0.502777778,0,258.3375,31.29444444,-0.222222222,24.12638889,88.28194444,-2.5085688,-0.96924406,270.87177,274.31458,889135.6,1.49E-08
42,22/01/2019 01:00,0.030555556,0,234.1416667,26.96388889,-1.233333333,24,95.65555556,-2.3576183,-1.0345293,271.91272,272.4592,0,1.49E-08
