,cdir_real,Global radiation.mean
1,238.623963,49.36388889
3,241.2451852,37.54444444
5,244.3556944,36.68472222
7,245.6022222,20.72083333
9,234.6047685,21.73611111
11,242.1305556,35.76666667
13,256.5647222,58.33611111
15,247.0468056,18.17222222
17,251.7416852,59.39722222
19,248.9923148,12.73611111
21,255.9472963,44.9625
23,256.09875,17.27916667
25,256.5414352,55.70555556
27,263.2168056,34.55277778
29,274.4006481,65.97361111
31,269.9737037,55.43055556
33,272.583287,75.78472222
35,258.6500463,10.60833333
37,270.7542593,32.44166667
39,270.4513704,27.96805556
41,279.1771111,23.675
43,268.4359259,14.34861111
45,285.3748148,54.2125
47,275.8568981,37.04027778
49,290.2794259,31.83055556
51,305.5873148,71.29027778
53,305.9601111,70.06805556
55,296.3489815,25.75416667
57,304.5388426,42.04722222
59,313.2529167,51.3125
61,309.0007407,29.31111111
63,314.8606019,32.82361111
65,314.3247222,53.63194444
67,314.6276111,23.37222222
69,331.6131019,56.17083333
71,318.3322685,15.12222222
73,348.051037,95.80694444
75,363.2191481,102.4805556
77,352.4546759,34.35555556
79,361.8561111,80.82916667
81,358.3029167,51.05833333
83,351.4527963,20.59861111
85,380.0065926,80.80972222
87,388.9769907,92.44027778
89,380.0298889,81.02916667
91,378.0261111,84.83333333
93,396.4328704,114.8097222
95,406.9993056,116.7861111
97,414.070787,117.125
99,424.9633796,120.0944444
101,413.5931019,98.50277778
103,415.6085648,118.6555556
105,395.9901852,22.92361111
107,453.540463,123.2597222
109,446.7136574,93.18472222
111,447.4592593,107.2583333
113,444.663287,100.9236111
115,452.1774537,131.7166667
117,473.0306944,138.9291667
119,457.5713426,83.49027778
121,453.9831481,60.225
123,465.0388889,108.3819444
125,487.2435185,117.3055556
127,485.4610648,125.0527778
129,488.1405556,133.2986111
131,496.1556481,105.2847222
133,488.3851852,44.39166667
135,498.1943519,128.2958333
137,513.1411111,68.85138889
139,516.5662037,25.98472222
141,528.7169907,95.65972222
143,546.4713889,114.0180556
145,543.4889815,117.0361111
147,543.349213,83.47083333
149,530.5343519,91.0375
151,556.8513889,157.9361111
153,536.5922685,82.50972222
155,548.020787,60.44305556
157,563.6199537,76.83880597
159,582.0733333,161.6722222
161,586.7332407,161.55
163,578.5783333,158.9875
165,593.1290278,163.9833333
167,583.5528704,138.9819444
169,601.4587037,115.7930556
171,603.8468981,48.61527778
173,629.0105556,175.7111111
175,624.245787,168.7180556
177,623.5351389,174.3625
179,635.6743056,235.0888889
181,631.1658333,231.0722222
183,632.9365741,223.8458333
185,634.7073611,166.9708333
187,633.7987037,197.0152778
189,616.2889352,70.23333333
191,630.6182407,248.8180556
193,644.4233333,207.1625
195,626.9718519,112.2263889
197,633.4841204,211.0902778
199,643.4913426,168.9902778
201,632.1211111,37.54444444
203,610.5222685,29.26944444
205,623.7099074,29.28888889
207,638.0275926,73.33194444
209,677.1711111,241.2388889
211,701.262963,252.6347222
213,698.676713,245.4555556
215,681.4465741,214.6625
217,690.6616204,222.7055556
219,717.5262037,254.1430556
221,720.8347222,253.3958333
223,712.0274537,245.2625
225,677.6487037,156.5986111
227,683.1590741,231.5458333
229,690.0907407,214.4930556
231,699.5038426,174.3055556
233,677.9632407,39.96805556
235,698.7815741,202.8125
237,682.6348611,63.16805556
239,651.1686111,63.8
241,690.5101852,172.6138889
243,707.052963,225.95
245,714.1360648,138.4361111
247,690.5567593,147.7625
249,654.3140741,51.57638889
251,662.4223611,54.74305556
253,721.5104167,178.3736111
255,734.1971296,220.8972222
257,680.7126389,33.17916667
259,711.2002778,211.1513889
261,715.4175463,209.7041667
263,705.0608333,165.1583333
265,671.4043981,62.225
267,651.3783333,69.87222222
269,656.1081481,67.65555556
271,692.094537,85.89722222
273,699.6786111,146.6097222
275,707.134537,203.4152778
277,716.8155556,116.525
279,718.9008333,206.7583333
281,728.977963,113.1291667
283,704.6647222,113.5083333
285,691.803287,123.7722222
287,697.8262963,238.0763889
289,730.224537,271.9361111
291,729.5954167,217.1152778
293,692.8867593,111.5944444
295,721.0677315,195.3333333
297,696.4515741,123.6680556
299,702.3697222,145.9361111
301,681.1902778,132.0472222
303,697.3486111,85.08055556
305,692.1411111,163.4472222
307,708.765463,153.4694444
309,700.1678704,168.1194444
311,711.6662963,102.7305556
313,707.7169907,153.5847222
315,735.6300463,138.8555556
317,731.7389815,187.7666667
319,729.1294444,129.3722222
321,724.4462037,138.2666667
323,729.8400926,152.6263889
325,727.9993981,150.1694444
327,729.3624074,116.0458333
329,763.4499074,146.7875
331,745.9401852,127.8486111
333,718.4232407,79.63055556
335,678.8602778,145.9069444
337,690.1839815,123.4486111
339,703.2667593,216.8625
341,713.0526389,196.3902778
343,712.225463,127.6833333
345,712.7730556,176.8555556
347,665.6843519,179.8208333
349,660.4885185,139.2791667
351,695.0186574,238.7180556
353,720.5318519,252.6611111
355,729.9915278,243.6569444
357,737.062963,259.0777778
359,740.6511111,246.6375
361,741.2802315,262.7361111
363,743.5636111,260.9486111
365,736.1892593,253.4361111
367,715.5456944,250.3805556
369,712.9244907,116.8680556
371,730.9934259,247.4111111
373,721.4405556,258.9916667
375,714.1943056,152.4513889
377,711.9575463,199.4
379,706.3888889,127.7972222
381,720.6133796,211.5597222
383,740.6977315,231.9041667
385,721.2308333,144.575
387,704.3967593,66.41388889
389,681.7844444,206.9569444
391,716.1398148,230.0472222
393,735.7581944,267.6777778
395,722.4424074,263.5652778
397,716.035,212.1763889
399,708.4043519,242.8763636
401,715.720463,229.5629032
403,713.5768519,230.7625
405,704.6064815,238.9027778
407,693.4925,249.75
409,698.6184722,225.1027778
411,710.8740741,232.0597222
413,697.9311111,99.61944444
415,691.2790741,206.7416667
417,685.6405556,80.71666667
419,666.2784722,181.1555556
421,668.713287,214.4388889
423,673.2217593,183.4291667
425,675.3537037,214.1472222
427,692.6653704,132.3305556
429,662.2010185,212.0180556
431,690.7314815,200.7666667
433,701.6590741,222.7763889
435,685.1162963,224.6847222
437,684.5570833,222.0
439,672.8489815,199.9361111
441,671.7189815,220.2305556
443,684.592037,222.3694444
445,668.6317593,214.2277778
447,674.2003704,204.0194444
449,655.4790741,194.3861111
451,636.1985185,112.6555556
453,682.9843519,202.9972222
455,663.77375,152.1111111
457,675.0508333,165.4763889
459,670.3325926,180.9708333
461,668.8647222,173.2875
463,664.8688426,168.5916667
465,651.4831481,177.8083333
467,619.9702778,161.4013889
469,624.6885185,152.7486111
471,631.8648148,140.5402778
473,625.8884259,151.5819444
475,619.8188426,156.2055556
477,627.1582407,139.1152778
479,631.2589815,140.8486111
481,637.3751852,136.8111111
483,626.0282407,133.9194444
485,616.8364815,117.4708333
487,622.1022222,110.5986111
489,627.950463,115.2805556
491,569.4099074,56.67916667
493,613.7958796,129.6458333
495,622.9526852,97.33888889
497,605.5594444,106.45
499,588.8418519,112.2208333
501,578.939537,88.64305556
503,580.2908796,48.31805556
505,597.8705093,120.5180556
507,582.5276852,116.0916667
509,565.3441204,122.4611111
511,582.6208333,101.7722222
513,564.1441667,96.65416667
515,576.7842593,102.4319444
517,576.4580556,101.925
519,552.1215278,93.49444444
521,550.0012963,30.0125
523,563.3636574,75.99027778
525,570.272037,102.0944444
527,566.2993981,96.86805556
529,569.4448611,113.0777778
531,508.8190278,27.09583333
533,483.0612037,26.82222222
535,518.4418056,85.13055556
537,492.590787,93.57777778
539,510.4966204,103.4083333
541,505.801713,79.94444444
543,494.8159259,90.14583333
545,505.2541667,92.24722222
547,506.2793519,90.075
549,493.0684259,54.11805556
551,497.0992593,78.07777778
553,499.9651389,106.2805556
555,488.4550926,70.40416667
557,479.8575,76.12083333
559,461.9749537,74.20138889
561,496.8313426,81.23611111
563,481.3719907,76.67083333
565,435.9258796,18.7
567,461.4507407,75.00555556
569,464.502963,75.53611111
571,454.5773148,71.04722222
573,444.4186111,77.15277778
575,448.2398148,72.19027778
577,422.9596296,47.61527778
579,414.88625,68.06111111
581,418.0899537,70.05138889
583,419.8840278,67.1875
585,418.4044907,70.01527778
587,410.7156019,64.21111111
589,408.5370833,60.67222222
591,411.4728704,62.03611111
593,406.0789815,61.96111111
595,402.5490741,64.55555556
597,395.2679167,62.54722222
599,397.7959259,27.70555556
601,377.4669259,35.01111111
603,350.4392593,10.175
605,346.606463,14.62777778
607,352.9439815,34.52916667
609,357.1495833,21.68055556
611,338.6146481,16.25277778
613,336.6225463,30.32222222
615,324.9377315,32.80138889
617,336.4361296,20.73472222
619,334.7818519,30.02222222
621,327.9433796,30.00833333
623,310.7132593,22.60694444
625,318.0526667,11.81527778
627,290.0231019,26.41527778
629,309.6647685,32.44583333
631,295.6965926,10.98888889
633,302.0108148,26.05
635,299.8788889,37.23194444
637,299.6808333,34.32985075
639,288.6950463,28.16805556
641,291.7938889,27.05138889
643,286.9825,20.10694444
645,297.4091204,30.21944444
647,263.4148611,24.66944444
649,275.6355556,28.07222222
651,270.2416667,22.13888889
653,273.9929167,22.54722222
655,269.6475185,30.07916667
657,259.5937037,18.96111111
659,249.6680093,30.80972222
661,255.9006944,30.075
663,257.0074259,18.87083333
665,255.0851852,23.16111111
667,266.5486574,21.41805556
669,269.332963,34.41111111
671,241.0937222,6.858333333
673,252.8484259,23.77916667
675,249.0738889,9.638888889
677,254.1415741,8.008333333
679,245.5439815,26.89722222
681,236.4221296,33.36527778
683,235.3736574,29.25555556
685,234.6047685,17.45
687,226.6712037,10.075
689,235.9677778,16.88333333
691,228.1041481,6.856944444
693,238.5191204,16.57222222
695,223.0713889,36.42361111
697,239.1132407,44.0875
699,231.7156019,36.07916667
701,229.490463,43.90833333
703,230.2593519,43.2125
705,231.1447685,37.80833333
707,222.1860185,36.63194444
709,220.6715278,12.12222222
711,220.8462963,11.45972222
713,217.3979167,16.12083333
715,231.4825926,49.14861111
717,225.739213,26.10555556
719,226.7993519,36.64027778
721,234.1504167,27.73055556
723,232.5427315,27.52638889
725,229.7933796,15.74861111
727,237.8201111,53.75555556
729,235.1056944,19.90416667
731,82.1106713,54.70833333
733,84.91611111,57.31111111
735,86.61534722,39.88611111
737,81.26675926,48.57638889
739,86.41006944,51.90694444
741,87.82421296,57.28611111
743,88.90761574,57.79444444
745,86.09076389,26.35555556
747,84.095,55.8125
749,90.76650463,60.19722222
751,86.42148148,43.52916667
753,89.24974537,22.54583333
755,90.24189815,17.93055556
757,91.81569444,26.5375
759,92.97893519,28.63194444
761,91.39372685,25.48611111
763,93.60615741,13.3875
765,93.30965278,7.101388889
767,92.32888889,12.04305556
769,96.19493056,18.95774648
771,100.9390926,57.04861111
773,103.6989352,68.45972222
775,101.7602037,60.27638889
777,105.1130556,45.51805556
779,99.49075926,51.36111111
781,100.4487222,59.51666667
783,99.10300926,36.69861111
785,103.8243704,49.90138889
787,108.3518704,35.425
789,112.4574074,74.73611111
791,107.3597037,72.68333333
793,110.1309259,75.76805556
795,110.5072685,87.42361111
797,108.0553519,19.62638889
799,110.187963,8.490277778
801,119.1859074,40.52916667
803,124.9906667,92.11805556
805,117.8402037,85.31388889
807,124.9108519,94.0375
809,126.9065926,91.25138889
811,124.0783333,45.24305556
813,127.5566481,18.49583333
815,132.8710185,92.49861111
817,135.0150185,102.0277778
819,126.8609722,62.43472222
821,134.6956944,94.9875
823,139.7021759,100.9319444
825,136.4975741,97.30694444
827,136.451963,48.14861111
829,142.7015,118.4736111
831,145.0621759,100.9958333
833,145.3700926,81.42361111
