,sp,out-hum,dew-pt,bar,dew2m,temp2m,humidity
0,99940.26,81,18.4,99970,18.6607,21.70266,82.84045037093793
1,99974.88,83,18.4,100010,18.85787,21.28015,86.06814928435837
2,100019.31,74,17.9,100270,19.06103,19.88934,94.9770669139521
3,100086.31,89,17.5,100190,19.32345,19.90096,96.47432125670016
4,100156.95,90,17.9,100280,19.35967,19.63027,98.33076160102318
5,100242.305,90,17.8,100300,19.47918,20.7882,92.21596909940438
6,100312.695,91,17.8,100380,19.3899,21.98535,85.21394762445475
7,100382.25,80,18.0,100420,16.03118,22.4591,66.9861962563043
8,100412.734,73,17.8,100480,13.5988,24.34838,51.086896954207575
9,100445.62,60,15.6,100590,13.3662,25.1023,48.10016240263455
10,100524.945,62,15.1,100640,12.24035,25.82638,42.797450125663346
11,100502.94,54,14.6,100660,12.1106,26.1959,41.51478694663188
12,100471.516,45,12.9,100650,12.43405,26.49743,41.65852884092032
13,100464.49,46,12.4,100640,12.53823,26.69143,41.46727243401203
14,100440.87,44,13.5,100610,12.24307,27.0366,39.85278187437638
15,100396.375,43,11.9,100600,12.13693,26.95995,39.754148530336316
16,100389.45,41,12.5,100600,11.67675,26.2758,40.15333880915114
17,100391.69,36,10.6,100570,11.1918,25.04885,41.82391027163089
18,100400.56,37,10.7,100550,10.85385,24.08935,43.31383907895459
19,100446.42,43,11.2,100550,10.80755,22.48782,47.57021509086497
20,100476.63,48,10.7,100610,10.50482,19.23245,56.966943106643456
21,100500.88,57,10.2,100650,10.37933,18.3354,59.75210174758936
22,100550.56,66,11.0,100680,10.1564,14.54885,74.92131319393435
23,100600.37,77,11.1,100690,9.74987,14.22225,74.46574638988768
24,100582.39,79,10.3,100700,9.24478,13.96682,73.18199873080113
25,100541.0,82,10.1,100740,9.0947,13.8117,73.17905706017719
26,100536.93,81,9.6,100710,8.39047,11.72622,79.99146329988933
27,100511.38,84,8.9,100680,8.39434,12.33077,76.8876351516964
28,100498.68,88,8.5,100660,8.63915,12.67666,76.4182536165272
29,100515.63,84,8.7,100660,9.39758,15.70532,66.09881136412793
30,100492.195,79,8.8,100660,10.02627,16.99658,63.5011848768113
31,100471.33,66,10.0,100660,10.9166,18.605,60.891361012615995
32,100429.01,63,10.8,100620,10.81548,21.59112,50.27217966135351
33,100409.57,58,11.3,100630,10.59335,22.52886,46.77966685332051
34,100384.76,52,11.3,100600,10.94427,23.85864,44.183821387554765
35,100341.14,47,11.2,100570,10.69793,24.60745,41.555259956652364
36,100251.75,40,10.1,100570,10.57263,25.196,39.78638237177394
37,100213.87,37,9.9,100500,10.1781,25.64797,37.724021599309
38,100135.31,34,9.4,100450,9.8258,25.81075,36.49031234672364
39,100137.3,36,10.0,100390,10.69268,24.6325,41.4785003293636
40,100119.88,40,10.2,100350,10.5482,23.95855,42.77628268716021
41,100149.875,43,10.6,100330,10.53774,22.6255,46.333656838839595
42,100143.63,45,10.9,100320,10.27572,22.0471,47.16240280192295
43,100195.83,44,10.1,100330,10.42135,21.0276,50.691976741692116
44,100209.305,51,11.7,100300,11.0783,19.0635,59.80966533097298
45,100237.43,55,10.9,100360,10.99136,18.60717,61.18630908641912
46,100242.805,56,11.2,100380,11.75424,16.7978,72.13651470596147
47,100234.64,63,11.7,100360,11.9946,15.9073,77.56852556193418
48,100243.95,76,12.0,100390,12.12435,15.3489,81.08440354387379
49,100260.195,74,11.6,100400,12.07552,15.0833,82.21584273260815
50,100232.99,76,11.4,100400,12.2818,14.06927,88.981869165591
51,100267.37,83,11.5,100410,12.62985,14.63824,87.7482183928286
52,100285.805,87,10.9,100410,12.51168,14.99792,85.07433368956244
53,100315.68,85,11.6,100400,12.96432,16.5366,79.41580793428311
54,100353.19,87,12.0,100430,13.31835,17.59097,76.02066935907757
55,100383.18,82,12.6,100470,13.43417,19.1685,69.37906824274731
56,100368.305,67,12.3,100530,12.73385,22.19607,54.990601164062745
57,100384.39,58,12.8,100510,12.3585,23.0379,50.97736745453625
58,100365.08,56,14.2,100530,11.7004,24.30224,45.231944454640605
59,100300.87,51,13.3,100530,11.6661,24.75784,43.91475779475442
60,100367.44,45,12.8,100520,11.9876,24.1282,46.581538846868305
61,100380.76,43,13.0,100480,13.2643,22.37118,56.32772848533821
62,100374.234,42,11.0,100490,13.1179,22.74722,54.53105233571407
63,100372.62,41,10.4,100480,12.1898,22.86675,50.940524368339034
64,100386.81,46,12.1,100520,11.0876,23.09274,46.71723696989939
65,100462.945,44,10.6,100550,10.4475,22.14156,47.4323310238279
66,100507.875,43,10.1,100580,10.29974,21.37423,49.22307797960019
67,100559.94,44,10.2,100590,10.19552,20.61816,51.20816039923518
68,100606.36,49,10.2,100660,10.39443,18.1941,60.345416200681775
69,100621.14,50,8.7,100710,10.14633,17.61822,61.545065536391995
70,100655.08,56,9.3,100780,10.34698,16.02758,69.00437666081187
71,100695.01,60,9.5,100810,10.328,15.59777,70.83863535845337
72,100721.62,63,9.6,100840,10.26312,15.50585,70.94920092172195
73,100695.31,65,9.6,100850,10.01812,15.06478,71.80227368070041
74,100718.38,68,9.5,100850,9.69818,14.29928,73.83865752444325
75,100766.016,71,9.4,100870,9.65267,14.5078,72.62715129851884
76,100787.625,77,9.8,100890,9.76403,14.22515,74.52251389721124
77,100813.18,82,9.8,100910,10.48235,15.77798,70.75080462952337
78,100856.555,79,9.8,100940,10.85537,16.77166,68.07783904306174
